gob_offset,flag,uncomp_size,crc32,name,path,method
0x955800,122,36432,0xe1a3f0d8,.\ps2\audio\velovox3.vag,gfc_extracted\./ps2/audio/velovox3.vag,crc
0x95d000,122,6544,0x976f9ecb,.\ps2\audio\teamup2.vag,gfc_extracted\./ps2/audio/teamup2.vag,crc
0x95e800,122,8640,0x2f1cfd95,.\ps2\audio\frnzloop.vag,gfc_extracted\./ps2/audio/frnzloop.vag,crc
0x960800,122,11216,0xc9d6d804,.\ps2\audio\frogs.vag,gfc_extracted\./ps2/audio/frogs.vag,crc
0x963000,122,9072,0x39b5990,.\ps2\audio\teamup3.vag,gfc_extracted\./ps2/audio/teamup3.vag,crc
0x965000,122,2256,0x3a9cfb35,.\ps2\audio\thunder2.vag,gfc_extracted\./ps2/audio/thunder2.vag,crc
0x965800,122,5264,0x37ecf8c4,.\ps2\audio\bombxpl2.vag,gfc_extracted\./ps2/audio/bombxpl2.vag,crc
0x967000,122,7664,0x1c2644cc,.\ps2\audio\crathead.vag,gfc_extracted\./ps2/audio/crathead.vag,crc
0x969000,122,9264,0xdaf7dc23,.\ps2\audio\boostpad.vag,gfc_extracted\./ps2/audio/boostpad.vag,crc
0x96b000,122,13248,0x1a81d0f8,.\ps2\audio\topfire.vag,gfc_extracted\./ps2/audio/topfire.vag,crc
0x96e000,122,10448,0x4d9abd78,.\ps2\audio\monkey.vag,gfc_extracted\./ps2/audio/monkey.vag,crc
0x970800,122,14784,0x34c0dbee,.\ps2\audio\misping1.vag,gfc_extracted\./ps2/audio/misping1.vag,crc
0x974000,122,3488,0xb4103609,.\ps2\audio\minelop3.vag,gfc_extracted\./ps2/audio/minelop3.vag,crc
0x975000,122,8288,0x1b564df1,.\ps2\audio\missfly5.vag,gfc_extracted\./ps2/audio/missfly5.vag,crc
0x977000,122,4144,0x607e11eb,.\ps2\audio\misstrk3.vag,gfc_extracted\./ps2/audio/misstrk3.vag,crc
0x978000,122,3952,0xf636880f,.\ps2\audio\misping2.vag,gfc_extracted\./ps2/audio/misping2.vag,crc
0x979000,122,10848,0xfa2770a5,.\ps2\audio\shokloop.vag,gfc_extracted\./ps2/audio/shokloop.vag,crc
0x97b800,122,9792,0x6034d042,.\ps2\audio\toplift.vag,gfc_extracted\./ps2/audio/toplift.vag,crc
0x97e000,122,22512,0x7cd21aab,.\ps2\audio\topspin2.vag,gfc_extracted\./ps2/audio/topspin2.vag,crc
0x983000,122,7008,0xc2f640f,.\ps2\audio\tower1.vag,gfc_extracted\./ps2/audio/tower1.vag,crc
0x984800,122,4400,0x9022a6b5,.\ps2\audio\seagull2.vag,gfc_extracted\./ps2/audio/seagull2.vag,crc
0x985800,122,4128,0x94dc46f,.\ps2\audio\shlddtn8.vag,gfc_extracted\./ps2/audio/shlddtn8.vag,crc
0x986800,122,3632,0x74bcfe7e,.\ps2\audio\buoy2.vag,gfc_extracted\./ps2/audio/buoy2.vag,crc
0x987800,122,7824,0xac4db206,.\ps2\audio\burp1.vag,gfc_extracted\./ps2/audio/burp1.vag,crc
0x989800,122,12496,0x7e148bda,.\ps2\audio\lavabub4.vag,gfc_extracted\./ps2/audio/lavabub4.vag,crc
0x98c800,122,3920,0x22032ec2,.\ps2\audio\lavabub5.vag,gfc_extracted\./ps2/audio/lavabub5.vag,crc
0x98d800,122,4864,0xbb43d7db,.\ps2\audio\lavabub6.vag,gfc_extracted\./ps2/audio/lavabub6.vag,crc
0x98f000,122,6928,0x832965d2,.\ps2\audio\lifelost.vag,gfc_extracted\./ps2/audio/lifelost.vag,crc
0x990800,122,8592,0x862dd659,.\ps2\audio\cblsprk1.vag,gfc_extracted\./ps2/audio/cblsprk1.vag,crc
0x992800,122,6464,0x643377a8,.\ps2\audio\cavedrp2.vag,gfc_extracted\./ps2/audio/cavedrp2.vag,crc
0x994000,122,5104,0xaeeca2d7,.\ps2\audio\cavedrp3.vag,gfc_extracted\./ps2/audio/cavedrp3.vag,crc
0x995800,122,7264,0x421370e2,.\ps2\audio\cavedrp4.vag,gfc_extracted\./ps2/audio/cavedrp4.vag,crc
0x997000,122,5200,0x6a58c683,.\ps2\audio\cavrmbl2.vag,gfc_extracted\./ps2/audio/cavrmbl2.vag,crc
0x998800,122,17392,0x74728ff3,.\ps2\audio\steem4.vag,gfc_extracted\./ps2/audio/steem4.vag,crc
0x99c800,122,11072,0x7c4be8a8,.\ps2\audio\watfall3.vag,gfc_extracted\./ps2/audio/watfall3.vag,crc
0x99f000,122,15376,0xc0b4a2a3,.\ps2\audio\watfall4.vag,gfc_extracted\./ps2/audio/watfall4.vag,crc
0x9a2800,122,20000,0x5793e431,.\ps2\audio\oilboil.vag,gfc_extracted\./ps2/audio/oilboil.vag,crc
0x9a7000,122,14768,0x658fdde7,.\ps2\audio\wfdown.vag,gfc_extracted\./ps2/audio/wfdown.vag,crc
0x9aa800,122,7648,0xe6c4c8e1,.\ps2\audio\jnglbrd7.vag,gfc_extracted\./ps2/audio/jnglbrd7.vag,crc
0x9ac800,122,2560,0xc911e7c1,.\ps2\audio\jungle5.vag,gfc_extracted\./ps2/audio/jungle5.vag,crc
0x9ad800,122,7312,0x5d68f4c3,.\ps2\audio\jungle7.vag,gfc_extracted\./ps2/audio/jungle7.vag,crc
0x9af800,48,67579,0x26057b84,,gfc_extracted\block_00683\block_00683.png,content
0x9c0000,48,67579,0x3b981d2,,gfc_extracted\block_00684\block_00684.bin,content
0x9d0800,48,67579,0xa353fe03,,gfc_extracted\block_00685\block_00685.bin,content
0x9e1000,48,67579,0x5740230d,,gfc_extracted\block_00686\block_00686.bin,content
0x9f1800,48,51195,0x1a7e9f9f,,gfc_extracted\block_00687\block_00687.bin,content
0x9fe000,48,67579,0x9ce446af,,gfc_extracted\block_00688\block_00688.png,content
0xa0e800,48,67579,0xadac7638,,gfc_extracted\block_00689\block_00689.bin,content
0xa1f000,48,67579,0x760baf01,,gfc_extracted\block_00690\block_00690.bin,content
0xa2f800,48,67579,0x371ec68d,,gfc_extracted\block_00691\block_00691.bin,content
0xa40000,48,67579,0x24f9c33e,,gfc_extracted\block_00692\block_00692.bin,content
0xa50800,48,67579,0x55b5805,,gfc_extracted\block_00693\block_00693.bin,content
0xa61000,48,14331,0x5a0cd7c2,,gfc_extracted\block_00694\block_00694.bin,content
0xa64800,122,220,0x151a9cfb,.\common\animations\earth3_anims.csv,gfc_extracted\./common/animations/earth3_anims.csv,crc
0xa65000,122,207,0x6040e363,.\common\audio\earth2_3devents.csv,gfc_extracted\./common/audio/earth2_3devents.csv,crc
0xa65800,122,620,0x9b3f8331,.\common\audio\earth2_envpointsounds.csv,gfc_extracted\./common/audio/earth2_envpointsounds.csv,crc
0xa66000,122,2768,0xb84c8116,.\common\audio\earth2_envtubesounds.csv,gfc_extracted\./common/audio/earth2_envtubesounds.csv,crc
0xa66800,122,318,0x4d95e4fe,.\common\audio\earth2_listenerregions.csv,gfc_extracted\./common/audio/earth2_listenerregions.csv,crc
0xa67000,48,2043,0x7cb70112,,gfc_extracted\block_00700\block_00700.csv,content
0xa67800,122,298,0x699a53fa,.\common\gfx\sfx\arena2_hhf.csv,gfc_extracted\./common/gfx/sfx/arena2_hhf.csv,crc
0xa68000,122,65536,0x9e1aa56b,,gfc_extracted\block_00702\block_00702.bin,content
0xa72800,122,59173,0x84991170,,gfc_extracted\block_00703\block_00703.bin,content
0xa79000,122,65536,0x5abc7ca,,gfc_extracted\block_00704\block_00704.bin,content
0xa7b000,122,65536,0xb1485de1,,gfc_extracted\block_00705\block_00705.bin,content
0xa7c800,122,65536,0x562e384f,,gfc_extracted\block_00706\block_00706.bin,content
0xa81000,122,65536,0x7f65ddea,,gfc_extracted\block_00707\block_00707.bin,content
0xa85800,122,65536,0xedbaf14,,gfc_extracted\block_00708\block_00708.bin,content
0xa8d800,122,65536,0x99668546,,gfc_extracted\block_00709\block_00709.bin,content
0xa92800,122,65536,0x98185288,,gfc_extracted\block_00710\block_00710.bin,content
