address,raw_name,symbol,module,body_bytes,callees_real,callees_stub,callers,globals,cop2,loops,branches,float_ops,leaf_hint,leaf_detail,score
0x003e1300,FUN_003e1300,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003ebea0,FUN_003ebea0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003ec660,FUN_003ec660,index_of_int,core/containers,412,0,0,0,0,0,1,3,0,,,9.74
0x003eddf0,FUN_003eddf0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003ee2e0,FUN_003ee2e0,,,246,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.92
0x003eea70,FUN_003eea70,,,246,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.92
0x003ef2b0,FUN_003ef2b0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003ef8c0,FUN_003ef8c0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003efc30,FUN_003efc30,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003f00a0,FUN_003f00a0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003f0810,FUN_003f0810,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003f0d60,FUN_003f0d60,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003f1430,FUN_003f1430,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x003f5b50,FUN_003f5b50,,,275,0,0,0,0,0,0,0,0,convert,cast/float math,5.5
0x003f6840,FUN_003f6840,quat_matrix_vu0,math/quat,1019,0,0,0,0,21,0,0,0,,,83.38
0x003f6b20,FUN_003f6b20,quat_lerp_vu0,math/quat,1169,0,0,0,0,27,0,0,0,,,104.38
0x003f9968,FUN_003f9968,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003fd320,FUN_003fd320,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00404e80,FUN_00404e80,,,309,0,0,0,0,0,0,1,0,memcmp,"compares two structs, returns int",6.18
0x00405d20,FUN_00405d20,bsearch16,core/containers,638,0,0,0,0,0,1,4,0,,,14.26
0x00405dc0,FUN_00405dc0,bsearch12,core/containers,567,0,0,0,0,0,1,3,0,,,12.84
0x00407550,FUN_00407550,bsearch16_b,core/containers,638,0,0,0,0,0,1,4,0,,,14.26
0x004075f0,FUN_004075f0,bsearch12_b,core/containers,567,0,0,0,0,0,1,3,0,,,12.84
0x0040a820,FUN_0040a820,,,80,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,1.6
0x0040b3e0,FUN_0040b3e0,,,243,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.86
0x0040be00,FUN_0040be00,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0040f030,FUN_0040f030,,,288,0,0,0,0,0,1,0,0,convert,cast/float math,7.26
0x00417650,FUN_00417650,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x004238c0,FUN_004238c0,,,72,0,0,0,0,0,0,0,0,getter,reads 0 field(s),1.44
0x00423d80,FUN_00423d80,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
0x004285f0,FUN_004285f0,,,65,0,0,1,0,0,0,0,0,struct_op,field assignment/read mix,4.3
0x00428630,FUN_00428630,,,144,1,0,0,0,0,0,0,0,thunk,wraps FUN_004285f0,6.88
0x00428b18,FUN_00428b18,strcat,core/strings,473,1,0,0,0,1,1,1,0,,,17.96
0x00428c50,FUN_00428c50,strchr,core/strings,547,0,0,0,0,0,1,4,0,,,12.44
0x00428f48,FUN_00428f48,strcpy,core/strings,409,0,0,1,0,0,1,1,0,,,12.68
0x00429708,FUN_00429708,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x00429760,FUN_00429760,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x004297c0,FUN_004297c0,,,214,0,0,1,0,1,0,0,0,other,simd/vu0,10.28
0x00429820,FUN_00429820,,,214,0,0,0,0,1,0,0,0,other,simd/vu0,7.28
