address,hub,direction,distance,peer
0x0011f9a0,0x001071e0,upstream,1,0
0x0011fcd0,0x001071e0,upstream,2,0
0x0011fe60,,-,1000000000,0
0x0011ff00,0x0043b320,upstream,1,0
0x001206c0,,-,1000000000,1
0x001206d0,,-,1000000000,1
0x001206f0,,-,1000000000,1
0x00120720,,-,1000000000,1
0x00120750,,-,1000000000,1
0x00120780,,-,1000000000,1
0x001207b0,,-,1000000000,1
0x001207c0,,-,1000000000,1
0x001207f0,,-,1000000000,1
0x00120810,,-,1000000000,0
0x00120b10,0x001071e0,upstream,1,0
0x00120c40,0x001071e0,upstream,1,0
0x001215f0,,-,1000000000,0
0x00121620,,-,1000000000,0
0x00121650,,-,1000000000,0
0x00121680,,-,1000000000,0
0x001216b0,,-,1000000000,0
0x001216e0,,-,1000000000,0
0x001216f0,,-,1000000000,0
0x00121700,,-,1000000000,0
0x00121710,,-,1000000000,0
0x00121b60,,-,1000000000,0
0x00121d80,,-,1000000000,0
0x00121e70,,-,1000000000,0
0x00122010,,-,1000000000,0
0x00122030,,-,1000000000,0
0x00122190,,-,1000000000,0
0x001223f0,,-,1000000000,0
0x00122400,,-,1000000000,0
0x00122410,,-,1000000000,0
0x00122420,,-,1000000000,0
0x00122430,0x0058a7a0,upstream,1,0
0x00122d40,,-,1000000000,0
0x00122d90,,-,1000000000,0
0x00122db0,0x0058a7a0,upstream,1,0
0x00123850,0x004ba240,upstream,1,0
0x001238a0,,-,1000000000,1
0x001238d0,,-,1000000000,0
0x00123910,,-,1000000000,1
0x00123920,,-,1000000000,0
0x00123980,,-,1000000000,0
0x001239e0,,-,1000000000,0
0x00123ac0,,-,1000000000,0
0x00123c30,0x0026d230,upstream,1,0
0x00123df0,0x004ba240,upstream,1,0
0x00123e50,,-,1000000000,0
0x00123ec0,0x004ba240,upstream,1,0
0x00123f80,0x0058a7a0,upstream,3,0
0x00124080,0x0058a7a0,upstream,2,0
0x001241d0,0x0058a7a0,upstream,2,0
0x001245c0,,-,1000000000,0
0x00124650,0x0026d230,upstream,1,0
0x00124780,0x004ba240,upstream,1,0
0x001247e0,,-,1000000000,0
0x00124810,0x004ba240,upstream,1,0
0x00124870,0x0058a7a0,upstream,1,0
0x00124a30,0x00512ee0,upstream,1,0
0x00124af0,0x0058a7a0,upstream,1,0
0x00124c90,0x0058a7a0,upstream,1,0
0x00124dc0,,-,1000000000,0
0x00124e00,,-,1000000000,0
0x00124e60,0x004ba240,upstream,1,0
0x00124ec0,,-,1000000000,0
0x00124f00,0x004ba240,upstream,1,0
0x00124fc0,0x0058a7a0,upstream,1,0
0x00125250,,-,1000000000,0
0x00125260,,-,1000000000,0
0x00125340,0x004ba240,upstream,1,0
0x001253a0,0x0058a7a0,upstream,1,0
0x00125400,0x004ba240,upstream,1,0
0x00125460,0x0058a7a0,upstream,1,0
0x001258c0,0x0058a7a0,upstream,1,0
0x00125b40,,-,1000000000,0
0x00125c20,0x004ba240,upstream,1,0
0x00125c80,,-,1000000000,0
0x00125cb0,0x004ba240,upstream,1,0
0x00125d10,0x0058a7a0,upstream,1,0
0x001260a0,,-,1000000000,0
0x00126100,,-,1000000000,0
0x001261b0,0x004ba240,upstream,1,0
0x00126210,,-,1000000000,0
0x00126250,0x004ba240,upstream,1,0
0x001262b0,0x0058a7a0,upstream,1,0
0x00126880,,-,1000000000,0
0x00126990,0x004ba240,upstream,1,0
0x001269f0,,-,1000000000,0
0x00126a20,0x004ba240,upstream,1,0
0x00126a80,0x0058a7a0,upstream,1,0
0x00127010,0x0058a7a0,upstream,3,0
0x001270b0,,-,1000000000,0
0x00127170,,-,1000000000,0
0x00127180,0x0058a7a0,upstream,1,0
0x00127330,0x0058a7a0,upstream,2,0
0x00127450,0x0058a7a0,upstream,2,0
0x001275a0,0x004ba240,upstream,1,0
0x00127600,0x0058a7a0,upstream,1,0
0x00127660,0x004ba240,upstream,1,0
0x001276c0,0x001071e0,upstream,1,0
0x001277a0,0x005c0d40,upstream,2,0
0x00127800,0x00511940,upstream,1,0
0x001278c0,0x005c0d40,upstream,1,0
0x001279f0,0x005c0d40,upstream,3,0
0x00127a70,0x001071e0,upstream,1,0
0x00127ad0,0x00512ee0,upstream,3,0
0x00127c80,,-,1000000000,0
0x00127c90,,-,1000000000,0
0x00127ca0,0x004ba240,upstream,1,0
0x00127d00,0x004ba240,upstream,1,0
0x00127de0,,-,1000000000,0
0x00127f00,0x00428df8,upstream,2,0
0x00127fc0,,-,1000000000,0
0x00128030,,-,1000000000,0
0x00128050,,-,1000000000,0
0x00128060,,-,1000000000,0
0x00128070,,-,1000000000,0
0x00128130,,-,1000000000,0
0x00128140,,-,1000000000,0
0x00128210,,-,1000000000,0
0x00128220,,-,1000000000,0
0x00128230,,-,1000000000,0
0x00128240,,-,1000000000,0
0x001282a0,,-,1000000000,0
0x00128300,,-,1000000000,0
0x001283c0,,-,1000000000,0
0x00128420,,-,1000000000,0
0x001284c0,,-,1000000000,0
0x00128540,,-,1000000000,0
0x00128780,0x00512ee0,upstream,3,0
0x00128800,0x00512ee0,upstream,3,0
0x00128880,,-,1000000000,0
0x00128900,,-,1000000000,0
0x00128a00,,-,1000000000,0
0x00128a40,,-,1000000000,0
0x00128a60,,-,1000000000,0
0x00128a80,,-,1000000000,0
0x00128aa0,0x004ba240,upstream,1,0
0x00128af0,,-,1000000000,0
0x00128bd0,,-,1000000000,0
0x00128e10,,-,1000000000,0
0x00128e50,0x004ba240,upstream,1,0
0x00128eb0,,-,1000000000,0
0x00129150,,-,1000000000,0
0x00129170,,-,1000000000,0
0x00129190,,-,1000000000,0
0x001291c0,0x004ba240,upstream,1,0
0x00129220,,-,1000000000,0
0x00129240,,-,1000000000,0
