address,name,module,status,in_deg,out_deg,degree,component,betweenness
0x0028e2d0,0x0028e2d0,,stub_code,2,2,4,17127,0.0000
0x002d21c0,0x002d21c0,,stub_code,2,11,13,17127,12.7500
0x004cebc0,0x004cebc0,,stub_code,0,2,2,17127,0.0000
0x00588aa0,0x00588aa0,,stub_code,0,1,1,17127,0.0000
0x0025c510,0x0025c510,,stub_code,0,2,2,17127,0.0000
0x0031c650,0x0031c650,,stub_code,0,2,2,17127,0.0000
0x0027e280,0x0027e280,,,1,0,1,17127,0.0000
0x004c09f0,0x004c09f0,,stub_code,0,3,3,17127,0.0000
0x001278c0,0x001278c0,,stub_code,1,9,10,17127,0.0000
0x004911a0,0x004911a0,,stub_code,1,0,1,2,0.0000
0x00192960,0x00192960,,stub_code,0,5,5,17127,0.0000
0x00313c60,0x00313c60,,stub_code,0,5,5,17127,0.0000
0x0029dc80,0x0029dc80,,stub_code,1,1,2,17127,1.0000
0x005837f0,0x005837f0,,stub_code,0,1,1,2,0.0000
0x0051d690,0x0051d690,,,4,0,4,17127,0.0000
0x001fd840,0x001fd840,,stub_code,0,3,3,17127,0.0000
0x00364590,0x00364590,,stub_code,0,2,2,17127,0.0000
0x0047d110,0x0047d110,,stub_code,2,5,7,17127,0.0000
0x002968c0,0x002968c0,,,1,0,1,17127,0.0000
0x001149d0,0x001149d0,,stub_code,2,6,8,17127,0.0000
0x00538d60,0x00538d60,,stub_code,1,2,3,17127,0.0000
0x00518d90,0x00518d90,,stub_code,14,3,17,17127,0.0000
0x0059bb00,0x0059bb00,,stub_code,0,1,1,2,0.0000
0x005ee580,0x005ee580,,stub_code,0,3,3,17127,0.0000
0x001ef1f0,0x001ef1f0,,stub_code,0,2,2,17127,0.0000
0x0051b900,0x0051b900,,stub_code,2,6,8,17127,0.0000
0x001c3f40,0x001c3f40,,stub_code,3,1,4,17127,0.0000
0x002663c0,0x002663c0,,stub_code,2,4,6,17127,0.0000
0x0035b5b0,0x0035b5b0,,stub_code,1,3,4,17127,0.0000
0x002a35e0,0x002a35e0,,stub_code,1,2,3,17127,0.0000
0x003a8d90,0x003a8d90,,,1,0,1,17127,0.0000
0x005822e0,0x005822e0,,stub_code,0,1,1,17127,0.0000
0x00403300,0x00403300,,stub_code,4,2,6,17127,0.0000
0x00286150,0x00286150,,stub_code,0,5,5,17127,0.0000
0x0018b730,0x0018b730,,stub_code,1,11,12,17127,0.0000
0x001e7b40,0x001e7b40,,stub_code,1,7,8,17127,0.0000
0x002af8d0,0x002af8d0,,stub_code,1,2,3,17127,0.0000
0x00316b30,0x00316b30,,,1,0,1,17127,0.0000
0x0018fe20,0x0018fe20,,,2,0,2,17127,0.0000
0x005344e0,0x005344e0,,stub_code,0,0,0,1,0.0000
0x0025c810,0x0025c810,,stub_code,0,0,0,1,0.0000
