caller,callee,a0,a1,a2,a3
0x0042cb00,0x0042c660,own_a0,ptr,own_a2,own_a3
0x0042cd18,0x0042c740,own_a0,own_a1,own_a1,own_a3
0x0042cd18,0x0042cac8,own_a0,own_a1,own_a1,own_a3
0x0042cd18,0x0042cb00,own_a0,int,own_a1,own_a3
0x0042cd18,0x0042cb00,own_a0,int,own_a1,own_a3
0x0042cd18,0x0042c708,own_a0,int,own_a1,own_a3
0x0042ce18,0x0042c660,own_a0,ptr,own_a2,ptr
0x0042ce18,0x0042c708,own_a0,int,int,own_a0
0x0042cfe0,0x0042cf78,own_a0,own_a1,own_a2,own_a3
0x0042cfe0,0x0042c660,own_a0,own_a1,own_a2,own_a3
0x0042cfe0,0x0042c660,own_a0,ptr,own_a2,own_a3
0x0042d3d0,0x0042c660,own_a0,own_a1,own_a2,own_a3
0x0042d3d0,0x0042ca08,ret_0x0042c660,own_a1,own_a2,own_a3
0x0042d3d0,0x0042ca08,ptr,own_a1,own_a2,own_a3
0x0042d3d0,0x0042c980,ptr,ret_0x0042ca08,own_a2,own_a3
0x0042d680,0x004312a0,own_a0,ptr,own_a2,own_a3
0x0042d6b0,0x00431390,ptr,own_a1,own_a2,own_a3
0x0042d708,0x00429cf0,own_a0,int,own_a2,own_a3
0x0042d708,0x00431390,ptr,int,own_a2,own_a3
0x0042d770,0x0042d770,ptr,int,own_a2,own_a1
0x0042f100,0x0042e1f0,ptr,own_a1,own_a2,own_a3
0x0042f130,0x0042f100,own_a0,own_a1,own_a2,own_a3
0x0042f130,0x003fb8d0,own_a0,own_a1,own_a2,own_a3
0x0042f158,0x003f8938,own_a3,int,own_a2,own_a3
0x0042f158,0x003f8eb8,int,int,own_a2,own_a3
0x0042f158,0x003f7b98,int,int,own_a2,own_a3
0x0042f638,0x0042f660,own_a0,own_a1,ptr,own_a3
0x0042f750,0x0042bf18,ptr,own_a1,own_a2,own_a3
0x0042f750,0x0042bf18,ptr,ptr,own_a2,own_a3
0x0042f750,0x0042bf18,ptr,ptr,own_a2,own_a3
0x0042f750,0x0042bf18,ptr,ptr,own_a2,own_a3
0x0042fb10,0x0042f750,own_a0,own_a1,own_a2,own_a3
0x0042fb10,0x003f82a8,ptr,ptr,ptr,ptr
0x0042fd98,0x004298e0,own_a0,own_a1,ptr,own_a3
0x0042fd98,0x004298e0,own_a0,int,ptr,own_a3
0x0042fd98,0x00430748,ptr,int,ptr,own_a3
0x00430000,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x00430000,0x0042fd98,ptr,ptr,int,int
0x00430000,0x0042c620,ptr,ptr,int,int
0x00430000,0x0042c620,ptr,ptr,ptr,int
0x00430748,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x00430748,0x00430a40,int,int,ptr,int
0x00430748,0x0042c620,int,ptr,ptr,int
0x00430748,0x0042c620,ptr,ptr,ptr,ptr
0x004312a0,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x004312a0,0x004311f0,own_a0,own_a1,own_a2,own_a3
0x004312a0,0x0042c620,own_a0,own_a1,own_a2,int
0x00431390,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x00431390,0x004311f0,own_a0,own_a1,own_a2,own_a3
0x00431390,0x0042c620,own_a0,own_a1,own_a2,int
0x00431390,0x00429cf0,own_a0,int,own_a2,int
0x00431390,0x00429cf0,own_a0,int,own_a2,int
0x00431390,0x00429cf0,own_a0,int,ptr,int
0x00431488,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x00431488,0x0042c620,own_a0,own_a1,own_a2,own_a3
0x00431488,0x0042c620,own_a0,own_a1,own_a2,own_a3
0x00431488,0x0042c620,own_a0,own_a1,own_a2,own_a3
0x00431920,0x003fb150,own_a0,own_a1,own_a2,own_a3
0x00431920,0x003fb6f8,own_a0,ptr,own_a2,own_a3
0x00431920,0x003fb150,own_a0,ptr,own_a2,own_a3
0x00431920,0x003fb6f8,own_a0,ptr,own_a2,own_a3
0x00431920,0x003fb150,int,ptr,own_a2,own_a3
0x00431920,0x003fb150,int,ptr,own_a2,own_a3
0x00431920,0x003fb6f8,int,ptr,own_a2,own_a3
0x00432588,0x003fb210,own_a0,int,own_a2,own_a3
0x00432588,0x003fb748,int,int,own_a2,own_a3
0x00432588,0x00431f70,int,int,own_a2,own_a3
0x00432588,0x003fb210,int,int,own_a2,own_a3
0x00432588,0x003fb210,int,int,own_a2,own_a3
0x00432588,0x003fb150,int,int,own_a2,own_a3
0x00432588,0x003fb210,int,ret_0x003fb150,own_a2,own_a3
0x00432588,0x003fb150,int,ret_0x003fb150,own_a2,own_a3
0x00432818,0x004327a0,own_a1,int,own_a2,own_a3
0x00432e90,0x00432eb8,own_a0,own_a1,own_a2,int
0x00432fc0,0x00433090,own_a1,own_a1,own_a2,own_a3
0x00432fc0,0x00433ef0,own_a1,own_a1,own_a2,own_a3
0x00433090,0x00428630,own_a0,own_a1,own_a2,own_a3
0x00433090,0x0042c280,ptr,ptr,int,ptr
0x00433090,0x004287e0,ptr,ptr,int,ptr
0x00433090,0x00432eb8,int,ptr,int,ptr
0x00433090,0x003fb6f8,int,int,int,ptr
0x00433090,0x003fb6f8,int,int,int,ptr
0x00433090,0x003fb1a8,int,int,int,ptr
0x00433090,0x00432588,int,int,int,ptr
0x00433090,0x003fb6f8,int,ret_0x00432588,int,ptr
0x00433090,0x003fb748,int,ret_0x00432588,int,ptr
0x00433090,0x003fb6f8,int,ret_0x00432588,int,ptr
0x00433090,0x004328b8,int,ret_0x00432588,int,ret_0x003fb6f8
0x00433090,0x00428658,ptr,ptr,ptr,ret_0x003fb6f8
0x00433090,0x00429068,ptr,ptr,ptr,ret_0x003fb6f8
0x00433090,0x003f8eb8,int,int,int,ret_0x003fb6f8
0x00433090,0x003f8938,int,int,int,ret_0x003fb6f8
0x00433090,0x00429068,int,int,int,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,int,ret_0x003fb6f8
0x00433090,0x004287e0,ptr,ptr,int,ret_0x003fb6f8
0x00433090,0x00432eb8,int,ptr,int,ret_0x003fb6f8
0x00433090,0x00432eb8,int,ptr,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,ptr,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x004287e0,ptr,int,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x004287e0,ptr,int,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x004287e0,ptr,int,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,int,ptr,ret_0x003fb6f8
0x00433090,0x004287e0,ptr,ptr,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,ptr,ptr,ret_0x003fb6f8
0x00433090,0x00432eb8,int,ptr,ptr,ret_0x003fb6f8
0x00433ec0,0x00433ef0,ptr,own_a1,own_a2,own_a3
0x00433ef0,0x0042c280,ptr,ptr,int,ptr
0x00433ef0,0x004287e0,ptr,ptr,int,ptr
0x00433ef0,0x00433db8,int,ptr,int,ptr
0x00433ef0,0x00428658,ptr,ptr,ptr,ptr
0x00433ef0,0x00429068,ptr,ptr,int,ptr
0x00433ef0,0x003f8eb8,int,ptr,int,ptr
0x00433ef0,0x003f8938,int,int,int,ptr
0x00433ef0,0x00429068,int,ptr,int,ptr
0x00433ef0,0x00433db8,int,int,int,ptr
0x00433ef0,0x004287e0,ptr,ptr,int,ptr
0x00433ef0,0x00433db8,int,ptr,int,ptr
0x00433ef0,0x00433db8,int,ptr,ptr,ptr
0x00433ef0,0x00433db8,int,ptr,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x004287e0,ptr,int,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x004287e0,ptr,int,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x004287e0,ptr,int,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x00433db8,int,int,ptr,ptr
0x00433ef0,0x004287e0,ptr,ptr,ptr,ptr
0x00433ef0,0x00433db8,int,ptr,ptr,ptr
0x00433ef0,0x00433db8,int,ptr,ptr,ptr
0x0043d2b8,0x00445d90,own_a0,own_a1,own_a2,own_a3
0x0043e328,0x0043e240,own_a0,own_a1,own_a2,own_a3
0x0043f5e8,0x0043f5b8,own_a0,own_a1,own_a2,own_a3
0x004450f0,0x004450e0,own_a0,own_a1,own_a2,own_a3
0x00446150,0x0043eb80,int,own_a1,int,own_a3
0x00446150,0x0043eb80,int,own_a1,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446150,0x0043eb80,int,ptr,int,own_a3
0x00446c30,0x00446508,own_a0,own_a1,own_a2,own_a3
0x00446c68,0x00446578,own_a0,own_a0,own_a2,own_a3
0x00448d40,0x00448a60,own_a0,int,own_a2,int
0x00449070,0x0042c238,ptr,own_a1,own_a2,own_a3
0x004490b0,0x00449110,own_a0,own_a1,own_a2,own_a3
0x00449160,0x004491c0,own_a0,own_a1,own_a2,own_a3
0x004491c0,0x0042c238,own_a0,own_a1,own_a2,own_a3
0x0046bbc8,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046cd48,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046d180,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046d2c0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046d2f0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046d320,0x0046b6c0,int,own_a1,own_a2,own_a3
0x0046f330,0x0046e8a8,ptr,ptr,ptr,own_a0
0x00474d70,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475320,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475370,0x0046b6c0,int,own_a1,own_a2,own_a3
0x004753c0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475410,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475460,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475568,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475600,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475698,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475810,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475870,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475a38,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475bc0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475c20,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475c80,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475de0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00475fd0,0x0046b6c0,int,own_a1,own_a2,own_a3
0x00478bb8,0x00477c70,int,own_a1,own_a2,own_a3
0x004791d0,0x00477c70,int,own_a1,own_a2,own_a3
0x004791d0,0x00477c70,ptr,own_a1,own_a2,own_a3
0x00479468,0x00477c70,int,own_a1,own_a2,own_a3
