address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x0042c660,FUN_0042c660,real_logic,False,-,10.28,other,214,1,0,0,ret,0.60,a0=int;a1=ptr;a2=int;a3=int,a0=int|a1=ptr|a2=int|a3=int|ret=ptr,0,0,0,,2,,-
0x0042bfa8,FUN_0042bfa8,real_logic,False,-,10.26,other,363,1,0,0,ret,0.50,a0=ptr;a1=int;a2=int;a3=int,a0=Unknown_a0_0|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x0042c740,FUN_0042c740,real_logic,False,-,10.26,other,363,1,0,0,int,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,3,0x004287e0,upstream
0x0047f4a0,FUN_0047f4a0,real_logic,False,-,10.04,convert,302,0,1,1,int,0.45,a0=w;a1=int;a2=int;a3=-,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,0,,-
0x0046c500,FUN_0046c500,real_logic,False,-,10.02,convert,301,0,1,1,int,0.45,a0=w;a1=int;a2=int;a3=-,a0=int|a1=int|a2=int|a3=int|ret=int,0,0,0,,0,,-
0x00429ef0,FUN_00429ef0,real_logic,False,-,9.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042f100,FUN_0042f100,real_logic,False,-,9.88,thunk,144,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,0,0x0042e1f0,0,0x004287e0,upstream
0x00197870,FUN_00197870,real_logic,False,-,9.52,convert,351,0,0,1,ptr,0.75,a0=ptr;a1=ptr;a2=int;a3=w,a0=ptr|a1=Unknown_a1_0|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x0042cb00,FUN_0042cb00,real_logic,False,-,9.18,other,309,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x00432588,FUN_00432588,real_logic,False,-,9.16,other,308,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,0x003fb210,upstream
0x00429de0,FUN_00429de0,real_logic,False,-,8.96,other,298,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,0x00428998,upstream
0x0042cd18,FUN_0042cd18,real_logic,False,-,8.96,other,298,1,0,0,ptr,0.60,a0=int;a1=ptr;a2=int;a3=int,a0=int|a1=Unknown_a1_0|a2=int|a3=int|ret=ptr,0,0,0,,0,0x004287e0,upstream
0x0028b3f0,FUN_0028b3f0,real_logic,False,-,8.92,memcmp,446,0,0,0,ptr,0.70,a0=ptr;a1=int;a2=ptr;a3=int,a0=Unknown_a0_0_4_8_10|a1=int|a2=Unknown_a2_0_4_8|a3=int|ret=ptr,0,0,0,,2,,-
0x0042c1c8,FUN_0042c1c8,real_logic,False,-,8.84,other,242,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,0,0x0042c098,0,,-
0x0042f638,FUN_0042f638,real_logic,False,-,8.44,thunk,222,0,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
