address,name,symbol,module,status,args,return_kind,accesses,calls,jalr,consts,ptr_derefs,float,cop2,simd,confidence
0x00303d60,0x00303d60,0x00303d60,,stub_code,a0=int;a1=ptr;a2=-;a3=-,ret,a1+0x18:4;a1+0x1c:4f;a1+0x20:1,,7,lui 0x700000;lui 0x3f800000;lui 0xbf800000;lui 0x40c90000,0,1,0,0,0.55
0x00303fb0,0x00303fb0,0x00303fb0,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x38:4f,0x00303d60,0,sz 0x24;lui 0x640000,0,1,0,0,0.55
0x00304190,0x00304190,0x00304190,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x0:4f;a0+0x4:4f,0x0042e160,0,lui 0x4f000000;lui 0x40000000;lui 0x3f800000;lui 0xbf7d0000;lui 0x3f7d0000,0,1,0,0,0.55
0x00304290,0x00304290,0x00304290,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00304890;0x00512ee0,0,lui 0x730000;lui 0x700000,0,0,0,0,0.45
0x00304330,0x00304330,0x00304330,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ptr,a1+0x0:4p;a1+0x38:4p;a1+0x64:4,0x00304620;0x005c0d40,2,sz 0x40,2,0,0,0,0.70
0x00304420,0x00304420,0x00304420,,stub_code,a0=ptr;a1=ptr;a2=int;a3=int,ptr,a0+0x28:4f;a0+0x2c:4f;a0+0x30:4f;a0+0x34:4f;a0+0x38:4f;a0+0x3c:4f;a0+0x40:4f;a0+0x44:4f;a0+0x48:4f;a0+0x4c:4f;a0+0x50:4f;a0+0x54:4f;a0+0x58:4f;a1+0x4:4f;a1+0x8:4f;a1+0xc:4f;a1+0x10:4f;a1+0x14:4f;a1+0x18:4f;a1+0x1c:4f;a1+0x20:4f;a1+0x24:4f;a1+0x28:4f;a1+0x2c:4f;a1+0x30:4f;a1+0x34:4f,0x003044b0,0,,0,1,0,0,0.70
0x003044b0,0x003044b0,0x003044b0,,stub_code,a0=ptr;a1=int;a2=-;a3=-,ptr,a0+0x0:4p;a0+0x10:4f;a0+0x28:4f;a0+0x60:4;a0+0x68:4p;a0+0x74:4,,8,sz 0x4,2,1,0,0,0.75
0x00304620,0x00304620,0x00304620,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00238120;0x00303c70;0x003044b0,1,lui 0x6f0000;sz 0x40,0,0,0,0,0.45
0x00304690,0x00304690,0x00304690,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00302ec0;0x003056b0;0x00511940;0x005a1cb0;0x005dbae0,0,lui 0x700000;lui 0x300000;lui 0x6f0000;mask 0xffffffff,0,0,0,0,0.45
0x00304840,0x00304840,0x00304840,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00303d00;0x005111f0,1,,0,0,0,0,0.45
0x00304890,0x00304890,0x00304890,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x84:1,0x00107370;0x00303fb0;0x00305920;0x003062e0;0x003065b0;0x003f94c8;0x004f2210,12,sz 0x4;lui 0x640000;lui 0x700000;lui 0x720000;lui 0x30890000;lui 0x3f800000,0,1,0,0,0.55
0x00305570,0x00305570,0x00305570,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00512ee0;0x00574900,0,lui 0x720000,0,0,0,0,0.45
0x00305620,0x00305620,0x00305620,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x005111e0,0,,0,0,0,0,0.45
0x00305650,0x00305650,0x00305650,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x8:4,0x00238120;0x005111f0,1,lui 0x6f0000,0,0,0,0,0.50
0x003056b0,0x003056b0,0x003056b0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00508930,4,sz 0x8;lui 0x700000;sz 0xa8;sz 0x18;sz 0xc0;sz 0x30,0,1,0,0,0.50
0x00305880,0x00305880,0x00305880,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00508930,3,lui 0x700000,0,0,0,0,0.45
0x00305920,0x00305920,0x00305920,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00238120;0x002ee7e0;0x00511940;0x00513f30,15,lui 0x7f0000;sz 0x60;lui 0xfff00000;mask 0xffffffff;lui 0x10000;sz 0x300,0,0,0,0,0.45
0x00305c80,0x00305c80,0x00305c80,,stub_code,a0=int;a1=int;a2=int;a3=ptr,ret,a3+0x0:4f;a3+0x4:4f;a3+0x8:4f;a3+0x10:4;a3+0x14:4,0x002ecea0;0x003fad18;0x003fb8d0;0x0043a388;0x0043aad8,0,lui 0x700000;lui 0x640000;sz 0x18;sz 0xa8;lui 0xff0000;sz 0x8,0,1,0,1,0.60
0x003062e0,0x003062e0,0x003062e0,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ret,a1+0x0:4p;a1+0x10:4p;a1+0x18:4;a1+0x34:4p;a1+0x44:4p,0x00108b40;0x002ee780;0x002ee7b0;0x00305c80;0x0055a8a0;0x0058a7a0;0x0058e620,1,sz 0x300;lui 0x720000;sz 0x110;sz 0xc;lui 0x35860000;lui 0x3f800000,8,1,0,0,0.65
0x003065b0,0x003065b0,0x003065b0,,stub_code,a0=int;a1=ptr;a2=int;a3=int,ret,a1+0x0:4p;a1+0x4:4;a1+0x8:4p;a1+0xc:4;a1+0x10:4p;a1+0x14:4;a1+0x1c:4;a1+0x30:4;a1+0x34:4p;a1+0x44:4p;a1+0x48:4p,0x00107370;0x004f2210;0x00511940;0x0058a7a0;0x005d72f0;0x005d8770,2,sz 0xc;lui 0x4c0000;sz 0x4;sz 0xd40,51,0,0,0,0.60
0x00306990,0x00306990,0x00306990,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00306a70;0x00306fd0;0x00307310,0,,0,0,0,0,0.45
0x003069c0,0x003069c0,0x003069c0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00306a70;0x0050f930,0,lui 0x700000,0,0,0,0,0.45
0x00306a00,0x00306a00,0x00306a00,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x005110e0;0x00511860;0x005118a0,0,sz 0x14;lui 0x6d0000;lui 0x720000,0,0,0,0,0.45
0x00306b70,0x00306b70,0x00306b70,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000,0,0,0,0,0.55
0x00306bc0,0x00306bc0,0x00306bc0,,stub_code,a0=int;a1=int;a2=int;a3=int,int,,0x00306da0;0x00306f50;0x005110e0;0x00511860;0x005118a0,0,lui 0x6d0000;sz 0x40;lui 0x720000;sz 0x38;lui 0x6f0000;sz 0x1380,0,0,0,0,0.55
0x00306ca0,0x00306ca0,0x00306ca0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x00306d20,0x00306d20,0x00306d20,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x00306da0,0x00306da0,0x00306da0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x005118a0;0x00511940;0x0051e5a0,0,lui 0x6d0000;sz 0x1c;sz 0xc;sz 0x20;lui 0x6f0000;sz 0x10,0,0,0,0,0.45
0x00306f50,0x00306f50,0x00306f50,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x003070e0,0x003070e0,0x003070e0,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000,0,0,0,0,0.55
0x00307140,0x00307140,0x00307140,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004d9c40;0x004ef390;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320,0,lui 0x700000;lui 0x640000;lui 0x720000,0,0,0,0,0.45
0x00307420,0x00307420,0x00307420,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000,0,0,0,0,0.55
0x00307470,0x00307470,0x00307470,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004d9c40;0x004ef390;0x004fe2b0;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320,0,lui 0x700000;lui 0x640000;lui 0x720000;sz 0x8;lui 0xbf800000;sz 0x4,0,0,0,0,0.45
0x00307650,0x00307650,0x00307650,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x003069c0;0x004f2210;0x00513210;0x005cfc50,1,lui 0x700000;sz 0x40;sz 0x4,0,0,0,0,0.45
0x00307720,0x00307720,0x00307720,,stub_code,a0=ptr;a1=int;a2=int;a3=int,ret,a0+0x4:4;a0+0x1c:4p,0x004f28b0;0x00511940;0x005cfc40,0,lui 0x700000;mask 0xffffffff;sz 0x4,2,0,0,0,0.60
0x00307880,0x00307880,0x00307880,,stub_code,a0=int;a1=ptr;a2=int;a3=int,int,a1+0x0:1,0x00301a60;0x00309980;0x00511940;0x00513210;0x005c0d40,3,sz 0x4c;sz 0x4,0,0,0,0,0.60
0x003079b0,0x003079b0,0x003079b0,,stub_code,a0=ptr;a1=-;a2=-;a3=-,ptr,a0+0x20:4,,4,lui 0x700000;lui 0x3d4c0000;lui 0x3ecc0000;lui 0x3f000000;lui 0x40000000;mask 0x1,0,1,0,0,0.65
0x00307ab0,0x00307ab0,0x00307ab0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x00511940;0x005a1cb0;0x005dbae0,0,lui 0x700000;lui 0x300000,0,0,0,0,0.45
0x00307c00,0x00307c00,0x00307c00,,stub_code,a0=ptr;a1=int;a2=-;a3=-,ret,a0+0x1c:4;a0+0x35:1,,3,,0,0,0,0,0.50
