address,name,module,status,arg,label,provenance,confidence,hops,vias
0x00102af0,0x00102af0,,stub_code,a1,int,DIRECT,0.50,0,-
0x00102af0,0x00102af0,,stub_code,a2,int,DIRECT,0.50,0,-
0x00102af0,0x00102af0,,stub_code,a3,int,DIRECT,0.50,0,-
0x00102af0,0x00102af0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00102e90,0x00102e90,,stub_code,a0,int,DIRECT,0.50,0,-
0x00102e90,0x00102e90,,stub_code,a1,int,DIRECT,0.50,0,-
0x00102e90,0x00102e90,,stub_code,a2,int,DIRECT,0.50,0,-
0x00102e90,0x00102e90,,stub_code,a3,int,DIRECT,0.50,0,-
0x00102e90,0x00102e90,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x001030f0,0x001030f0,,stub_code,a0,Unknown_a0_0_c_54,DIRECT,0.95,0,-
0x001030f0,0x001030f0,,stub_code,a1,int,DIRECT,0.50,0,-
0x001030f0,0x001030f0,,stub_code,a2,int,DIRECT,0.50,0,-
0x001030f0,0x001030f0,,stub_code,a3,int,DIRECT,0.50,0,-
0x001030f0,0x001030f0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00103170,0x00103170,,stub_code,a0,int,DIRECT,0.50,0,-
0x00103170,0x00103170,,stub_code,a1,int,DIRECT,0.50,1,-;0x001030f0->0x00103170
0x00103170,0x00103170,,stub_code,a2,int,DIRECT,0.50,0,-
0x00103170,0x00103170,,stub_code,a3,int,DIRECT,0.50,1,-;0x001030f0->0x00103170
0x00103170,0x00103170,,stub_code,ret,int,DIRECT,0.70,0,-
0x00103380,0x00103380,,stub_code,a0,int,DIRECT,0.50,0,-
0x00103380,0x00103380,,stub_code,a1,int,DIRECT,0.50,0,-
0x00103380,0x00103380,,stub_code,a2,int,DIRECT,0.50,1,-;0x00103170->0x00103380
0x00103380,0x00103380,,stub_code,a3,ptr,STRUCT_FIELD,0.55,0,-
0x00103380,0x00103380,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00103570,0x00103570,,stub_code,a0,ptr,STRUCT_FIELD,0.55,0,-
0x00103570,0x00103570,,stub_code,a1,int,DIRECT,0.50,0,-
0x00103570,0x00103570,,stub_code,a2,int,DIRECT,0.50,0,-
0x00103570,0x00103570,,stub_code,a3,int,DIRECT,0.50,0,-
0x00103570,0x00103570,,stub_code,ret,int,DIRECT,0.70,0,-
0x001036b0,0x001036b0,,stub_code,a0,Unknown_a0_0_a0,DIRECT,0.90,0,-
0x001036b0,0x001036b0,,stub_code,a1,int,DIRECT,0.50,0,-
0x001036b0,0x001036b0,,stub_code,a2,int,DIRECT,0.50,1,-;0x00103170->0x001036b0
0x001036b0,0x001036b0,,stub_code,a3,int,DIRECT,0.50,2,-;0x00103170->0x001036b0
0x001036b0,0x001036b0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00103da0,0x00103da0,,stub_code,a0,int,DIRECT,0.50,0,-
0x00103da0,0x00103da0,,stub_code,a1,int,DIRECT,0.50,0,-
0x00103da0,0x00103da0,,stub_code,a2,int,DIRECT,0.50,2,-;0x001036b0->0x00103da0
0x00103da0,0x00103da0,,stub_code,a3,int,DIRECT,0.50,3,-;0x001036b0->0x00103da0
0x00103da0,0x00103da0,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00104270,0x00104270,,stub_code,a0,int,DIRECT,0.50,0,-
0x00104270,0x00104270,,stub_code,a1,int,DIRECT,0.50,0,-
0x00104270,0x00104270,,stub_code,a2,int,DIRECT,0.50,3,-;0x00104b90->0x00104270
0x00104270,0x00104270,,stub_code,a3,int,DIRECT,0.50,0,-
0x00104270,0x00104270,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00104340,0x00104340,,,a0,int,CALL_PROPAGATED,0.42,1,0x00103da0->0x00104340
0x00104340,0x00104340,,,a1,ptr,HEURISTIC,0.40,0,0x00103da0->0x00104340
0x00104340,0x00104340,,,a2,int,CALL_PROPAGATED,0.42,3,0x00103da0->0x00104340
0x00104340,0x00104340,,,a3,int,CALL_PROPAGATED,0.42,4,0x00103da0->0x00104340
0x00104390,0x00104390,,stub_code,a0,int,DIRECT,0.50,0,-
0x00104390,0x00104390,,stub_code,a1,int,DIRECT,0.50,1,-;0x00424d70->0x00104390;0x004254f0->0x00104390;0x00425860->0x00104390;0x00425c30->0x00104390
